sequence,group,detect_nfeatures,frame_step,budget,strategy,pairs,avg_selected_a,avg_selected_b,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
structured/IMG_5982,structured,2000,1,100,grid,109,100.0,100.0,57.615,54.771,0.949,26.716,44.321,0.767,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,100,random,327,100.0,100.0,40.031,19.388,0.486,61.079,11.159,0.282,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,100,top_response,109,100.0,100.0,67.037,65.394,0.975,23.111,54.468,0.812,4100.0,463914.748,0.009
structured/IMG_5982,structured,2000,1,250,grid,109,250.0,250.0,151.376,147.716,0.975,24.562,111.972,0.738,10250.0,463914.748,0.024
structured/IMG_5982,structured,2000,1,250,random,327,250.0,250.0,101.26,72.563,0.716,50.159,32.336,0.321,10250.0,463914.748,0.024
structured/IMG_5982,structured,2000,1,250,top_response,109,250.0,250.0,168.477,165.826,0.984,23.466,129.385,0.767,10250.0,463914.748,0.024
structured/IMG_5982,structured,2000,1,500,grid,109,500.0,500.0,308.991,304.303,0.985,23.955,221.697,0.717,20500.0,463914.748,0.047
structured/IMG_5982,structured,2000,1,500,random,327,500.0,500.0,216.774,187.881,0.866,41.078,95.575,0.441,20500.0,463914.748,0.047
structured/IMG_5982,structured,2000,1,500,top_response,109,500.0,500.0,333.156,329.018,0.987,23.764,246.495,0.738,20500.0,463914.748,0.047
structured/IMG_5982,structured,2000,1,1000,grid,109,1000.0,1000.0,629.569,623.193,0.99,24.116,441.083,0.699,41000.0,463914.748,0.094
structured/IMG_5982,structured,2000,1,1000,random,327,1000.0,1000.0,495.263,473.15,0.955,32.244,283.018,0.571,41000.0,463914.748,0.094
structured/IMG_5982,structured,2000,1,1000,top_response,109,1000.0,1000.0,655.147,648.679,0.99,24.358,471.697,0.717,41000.0,463914.748,0.094
structured/IMG_5983,structured,2000,1,100,grid,159,100.0,100.0,53.56,51.711,0.964,24.267,37.692,0.696,4100.0,429227.509,0.01
structured/IMG_5983,structured,2000,1,100,random,477,100.0,100.0,39.398,25.574,0.652,53.666,11.247,0.287,4100.0,429227.509,0.01
structured/IMG_5983,structured,2000,1,100,top_response,159,100.0,100.0,63.409,62.352,0.98,22.113,48.201,0.754,4100.0,429227.509,0.01
structured/IMG_5983,structured,2000,1,250,grid,159,250.0,250.0,141.472,138.937,0.981,22.545,96.874,0.674,10250.0,429227.509,0.025
structured/IMG_5983,structured,2000,1,250,random,477,250.0,250.0,101.325,84.447,0.834,43.647,34.86,0.344,10250.0,429227.509,0.025
structured/IMG_5983,structured,2000,1,250,top_response,159,250.0,250.0,162.182,160.925,0.991,21.32,117.956,0.721,10250.0,429227.509,0.025
structured/IMG_5983,structured,2000,1,500,grid,159,500.0,500.0,294.302,291.025,0.988,21.894,201.434,0.675,20500.0,429227.509,0.05
structured/IMG_5983,structured,2000,1,500,random,477,500.0,500.0,217.075,200.985,0.926,35.751,98.925,0.453,20500.0,429227.509,0.05
structured/IMG_5983,structured,2000,1,500,top_response,159,500.0,500.0,323.786,321.409,0.992,21.541,229.579,0.701,20500.0,429227.509,0.05
structured/IMG_5983,structured,2000,1,1000,grid,159,1000.0,1000.0,611.075,606.899,0.993,21.635,411.409,0.664,41000.0,429227.509,0.1
structured/IMG_5983,structured,2000,1,1000,random,477,1000.0,1000.0,491.176,478.547,0.974,28.241,282.283,0.57,41000.0,429227.509,0.1
structured/IMG_5983,structured,2000,1,1000,top_response,159,1000.0,1000.0,639.975,636.013,0.993,21.979,438.937,0.676,41000.0,429227.509,0.1
unstructured_like/IMG_5975,unstructured_like,2000,1,100,grid,111,100.0,100.0,52.495,37.505,0.714,44.932,34.613,0.658,4100.0,1239909.815,0.003
unstructured_like/IMG_5975,unstructured_like,2000,1,100,random,333,100.0,100.0,42.453,7.498,0.179,72.052,8.964,0.213,4100.0,1239909.815,0.003
unstructured_like/IMG_5975,unstructured_like,2000,1,100,top_response,111,100.0,100.0,56.036,45.667,0.813,38.941,42.207,0.75,4100.0,1239909.815,0.003
unstructured_like/IMG_5975,unstructured_like,2000,1,250,grid,111,250.0,250.0,130.622,105.009,0.803,40.356,88.279,0.674,10250.0,1239909.815,0.008
unstructured_like/IMG_5975,unstructured_like,2000,1,250,random,333,250.0,250.0,103.009,39.117,0.381,62.792,20.97,0.204,10250.0,1239909.815,0.008
unstructured_like/IMG_5975,unstructured_like,2000,1,250,top_response,111,250.0,250.0,142.054,122.694,0.862,36.653,106.486,0.746,10250.0,1239909.815,0.008
unstructured_like/IMG_5975,unstructured_like,2000,1,500,grid,111,500.0,500.0,265.595,227.523,0.856,38.129,179.955,0.676,20500.0,1239909.815,0.017
unstructured_like/IMG_5975,unstructured_like,2000,1,500,random,333,500.0,500.0,210.553,125.862,0.599,53.866,71.571,0.34,20500.0,1239909.815,0.017
unstructured_like/IMG_5975,unstructured_like,2000,1,500,top_response,111,500.0,500.0,288.964,259.676,0.898,35.055,217.261,0.749,20500.0,1239909.815,0.017
unstructured_like/IMG_5975,unstructured_like,2000,1,1000,grid,111,1000.0,1000.0,547.676,498.405,0.91,35.863,371.18,0.676,41000.0,1239909.815,0.033
unstructured_like/IMG_5975,unstructured_like,2000,1,1000,random,333,1000.0,1000.0,460.7,376.093,0.817,43.177,238.718,0.517,41000.0,1239909.815,0.033
unstructured_like/IMG_5975,unstructured_like,2000,1,1000,top_response,111,1000.0,1000.0,576.568,536.468,0.93,33.739,426.982,0.738,41000.0,1239909.815,0.033
unstructured_like/IMG_5976,unstructured_like,2000,1,100,grid,107,100.0,100.0,51.626,36.822,0.709,45.015,34.093,0.656,4100.0,1167763.379,0.004
unstructured_like/IMG_5976,unstructured_like,2000,1,100,random,321,100.0,100.0,41.548,8.24,0.2,71.418,8.994,0.218,4100.0,1167763.379,0.004
unstructured_like/IMG_5976,unstructured_like,2000,1,100,top_response,107,100.0,100.0,55.916,45.822,0.811,39.192,42.103,0.745,4100.0,1167763.379,0.004
unstructured_like/IMG_5976,unstructured_like,2000,1,250,grid,107,250.0,250.0,129.888,104.159,0.797,40.416,87.364,0.667,10250.0,1167763.379,0.009
